"","PID","crt","mean_honesty_rating","lie_detect_dprime","lie_prop","age","gender","ed_lev","(Intercept)","normed_signed_e_v","normed_unsigned_e_v","subject_liedTRUE","subject_lostTRUE"
"1","561ec90aed6e5a000fc7e8d3",1,2.77777777777778,0.166506758200717,0.5,33,0,8,0,0.300301733799033,0.324897377509426,0.065604505862295,-0.0361414513774844
"2","5766d657c8d7b400013782da",4,3.5,0,0.0222222222222222,19,1,3,0,0.044150251073763,0.500622449303297,0.0149487834131393,0.0309065465956326
"3","577a3dfd92c50c0001c9488f",4,2.86666666666667,0.106541883322052,0,58,0,2,0,0.350774246128769,0.413813681337496,NA,-0.128482883370884
"4","579de4e24d107800016dd926",1,4.55555555555556,0,0.0111111111111111,38,1,5,0,0.574542339977005,0.337252435578368,0.00667378339794239,-0.133774345615669
"5","57d4520b49d04a000105ee31",4,1.95555555555556,0.0750425699680869,0.633333333333333,39,0,6,0,0.0606423588911362,0.583964875389318,-0.0879523737560504,0.0651475474816651
"6","582f8bbd4cadc80001b0fbd3",1,2.63333333333333,0.169805114014303,0.611111111111111,35,0,2,0,0.175474335144944,0.443673807536153,0.113008824368252,0.0332055537564411
"7","58d107ff2fc72000011f8d0e",3,2.35555555555556,0.0719435728310016,0.0888888888888889,45,1,4,0,0.0428614987986325,0.456564446874935,0.121075354314587,0.146470187092092
"8","5980c9688ab70c000158dbb9",4,3.31111111111111,0.0955654584112383,0.0222222222222222,38,1,6,0,0.289948564040837,0.470450093812167,0.061237817993493,-0.0550066311087331
"9","59c53f8046f7210001906692",3,2.84444444444444,0.161096654527839,0.466666666666667,30,1,5,0,0.294930224953159,0.517877946805731,-0.0528825674373785,-0.0724057950267089
"10","59c558114374e1000125c522",4,3.11111111111111,0.142328255341003,0.0222222222222222,51,1,5,0,0.536229236449031,0.288730310368265,-0.112682660124624,-0.217678350928658
"11","59d4b503e59146000112e521",4,3.75555555555556,0.128153695628345,0,41,1,5,0,0.388367977039927,0.371830294484529,NA,-0.133647811662347
"12","59d739e08fd07a0001841fe1",1,3.8,0.0177118098986339,0,40,1,3,0,0.443991726376961,0.325271030761437,NA,-0.222999677186208
"13","5a0482efdf3fa800015c3374",3,2.66666666666667,0.175293694491881,0.566666666666667,44,1,5,0,0.364462075173791,0.352403616812628,-0.0391331298774892,0.064519676301102
"14","5a69128313898300014baae4",0,3.12222222222222,0.0600074098655973,0.0555555555555556,29,1,3,0,0.275790601486186,0.465978789163415,-0.0207660103812347,0.0398224737313319
"15","5adbd63ae0feeb0001ca9865",1,2.56666666666667,0.0330099288208686,0.344444444444444,32,1,1,0,0.312784252420059,0.193272257120603,-0.123578016442164,0.0564424553145049
"16","5b7877430aeff10001f1b162",2,2.43333333333333,0.164935619337772,0.322222222222222,38,1,4,0,0.252293294628215,0.368205629320548,0.107010557785058,0.0344182444945743
"17","5be8a35333f40a00010333c4",4,3.15555555555556,0.123838861957046,0,47,1,2,0,0.2353808921775,0.351584620707645,NA,-0.0398496816949349
"18","5c6ef67ca9317a00011ff088",3,2.31111111111111,0.146180502653598,0.3,30,1,5,0,0.343735745127853,0.403070467438944,-0.134737167780524,-0.0900190557135467
"19","5c747244f33ac60001b7a9e2",1,2.82222222222222,0.0340019717441393,0.6,44,0,5,0,0.0889799155401968,0.568930519708406,0.000270987796475396,0.0819788212963607
"20","5c9034a2eedbd9001573ca14",4,2.78888888888889,0.152426811837885,0.0777777777777778,57,0,7,0,0.226705781054373,0.307770693350332,0.0809713711927858,0.146647399510034
"21","5cd44529e0aa560001252901",4,2.65555555555556,0.153842412698704,0.0777777777777778,21,1,5,0,0.334443829570954,0.301639295417538,0.0280096986174936,-0.00941731676250678
