"","PID","crt","mean_suspicion_rating","age","gender","ed_lev","lie_prop_redpick","dprime","beta","hitrate","farate","acc","n_lied_self","tp","fp","subject_lostTRUE","subject_liedTRUE","normed_signed_e_v","normed_unsigned_e_v","dprime_art","beta_art","hitrate_art","farate_art","acc_art"
"1","561ec90aed6e5a000fc7e8d3",1,3.22222222222222,33,0,8,0.9375,1.36035064772921,2.08594490995074,0.555555555555556,0.111111111111111,0.722222222222222,45,25,5,0.022360790942526,0.0201579162699491,0.438789492588359,0.465820438436454,1.27234853286837,1.29874725157506,0.666666666666667,0.2,0.733333333333333
"2","5766d657c8d7b400013782da",4,2.5,19,1,3,0,0,0,0,0,0.5,2,0,0,0.0763947536341157,-0.0540385718286077,0.269478030864991,0.568368271234064,1.11562905627013,0.929935601329995,0.733333333333333,0.311111111111111,0.711111111111111
"3","577a3dfd92c50c0001c9488f",4,3.13333333333333,58,0,2,0,0.775728870521142,1.26615731216827,0.533333333333333,0.244444444444444,0.644444444444444,0,24,11,0.0310528542568656,0,0.347763128125944,0.183828513422026,1.4567868104004,1.05432954345876,0.755555555555556,0.222222222222222,0.766666666666667
"4","579de4e24d107800016dd926",1,1.44444444444444,38,1,5,0,0,1,0.0222222222222222,0.0222222222222222,0.5,1,1,1,0.00780053812403601,0.0695068996860395,0.271988957885805,0.035543024515075,2.12366495408148,1.10952315800584,0.844444444444444,0.133333333333333,0.855555555555556
"5","57d4520b49d04a000105ee31",4,4.04444444444444,39,0,6,0.758064516129032,0.759546234308892,0.618236580036702,0.844444444444444,0.6,0.622222222222222,57,38,27,0.103770125446567,-0.45849428817393,0.0939402716244922,0.0367031110234396,1.52941934757277,1,0.777777777777778,0.222222222222222,0.777777777777778
"6","582f8bbd4cadc80001b0fbd3",1,3.36666666666667,35,0,2,0.948275862068966,1.29423126555107,1.43072355538706,0.644444444444444,0.177777777777778,0.733333333333333,55,29,8,0.00481727252832344,0.00429196333493033,0.49665214598897,0.44754729803276,1.61594415735833,1.20596461188745,0.755555555555556,0.177777777777778,0.788888888888889
"7","58d107ff2fc72000011f8d0e",3,3.64444444444444,45,1,4,0.126984126984127,0.608425402706884,0.789791276636486,0.755555555555556,0.533333333333333,0.611111111111111,8,34,24,0.00452169234194128,0.00057478649074974,0.556814631498037,-0.015490985018036,1.464546956783,0.852020303462262,0.8,0.266666666666667,0.766666666666667
"8","5980c9688ab70c000158dbb9",4,2.68888888888889,38,1,6,0.0204081632653061,1.00838261298398,2.73259367288778,0.311111111111111,0.0666666666666667,0.622222222222222,2,14,3,-0.0257231436471448,0.00767198682899078,0.632921827896121,0.00102712093973329,1.73369733984687,1.52636419433125,0.733333333333333,0.133333333333333,0.8
"9","59c53f8046f7210001906692",3,3.15555555555556,30,1,5,0.807692307692308,1.21198547837967,1.33053126984384,0.644444444444444,0.2,0.722222222222222,42,29,9,-0.0101724433459625,0.116820890884756,0.818023134434468,0.00274539485052404,2.12366495408148,0.901288082888967,0.866666666666667,0.155555555555556,0.855555555555556
"10","59c558114374e1000125c522",4,2.88888888888889,51,1,5,0,1.13862664362224,1.85246806819671,0.511111111111111,0.133333333333333,0.688888888888889,2,23,6,-0.328653028150023,0.00953760417531642,0.930339643328524,0.166126517485671,1.4567868104004,1.05432954345876,0.755555555555556,0.222222222222222,0.766666666666667
"11","59d4b503e59146000112e521",4,2.24444444444444,41,1,5,0,1.1514171439297,2.4322147782431,0.422222222222222,0.0888888888888889,0.666666666666667,0,19,4,-0.00891558211835839,0,0.519777452762306,0.462828026046827,1.464546956783,1.17368095095435,0.733333333333333,0.2,0.766666666666667
"12","59d739e08fd07a0001841fe1",1,2.2,40,1,3,0,0.50878882615136,2.44285830759945,0.0666666666666667,0.0222222222222222,0.522222222222222,0,3,1,0.231999285428475,0,0.0175796497231278,0.0441408840421106,1.60347494969683,1.64136547966144,0.688888888888889,0.133333333333333,0.777777777777778
"13","5a0482efdf3fa800015c3374",3,3.33333333333333,44,1,5,0.910714285714286,1.33432456663296,1.26210992382241,0.688888888888889,0.2,0.744444444444444,51,31,9,0.00906418737067304,-0.00143873746108823,0.63636355081548,0.263666957621861,1.33432456663296,1.26210992382241,0.688888888888889,0.2,0.744444444444444
"14","5a69128313898300014baae4",0,2.87777777777778,29,1,3,0.0634920634920635,0.493139721448855,1.39654612216722,0.333333333333333,0.177777777777778,0.577777777777778,5,15,8,0,0.344251148559587,0.133942919294223,0.0298010187236572,1.85451457101761,1.17211909878964,0.8,0.155555555555556,0.822222222222222
"15","5adbd63ae0feeb0001ca9865",1,3.43333333333333,32,1,1,0.584905660377358,0.234515565650274,1.07628304591264,0.422222222222222,0.333333333333333,0.544444444444444,31,19,15,-0.0417044536573298,0.347377504418684,0.35259877524826,0.0213180304060021,1.19543697308184,1.22094779638616,0.666666666666667,0.222222222222222,0.722222222222222
"16","5b7877430aeff10001f1b162",2,3.56666666666667,38,1,4,0.527272727272727,1.24871075768122,1.08824345529556,0.711111111111111,0.244444444444444,0.733333333333333,29,32,11,0.000536988814596638,0.00886643285272351,0.40621124150081,0.446531449418603,1.3213432948536,1.14736722539375,0.711111111111111,0.222222222222222,0.744444444444444
"17","5be8a35333f40a00010333c4",4,2.84444444444444,47,1,2,0,0.925272967480043,1.42001061098168,0.533333333333333,0.2,0.666666666666667,0,24,9,0.014430229064208,0,0.741858234940058,0.276409988769009,1.13507391859315,1.25082784195969,0.644444444444444,0.222222222222222,0.711111111111111
"18","5c6ef67ca9317a00011ff088",3,3.68888888888889,30,1,5,0.482142857142857,1.11562905627013,0.929935601329995,0.733333333333333,0.311111111111111,0.711111111111111,27,33,14,-0.0194678355626971,0.01200265648838,0.570876455083012,0.22437301943972,1.60347494969683,1.64136547966144,0.688888888888889,0.133333333333333,0.777777777777778
"19","5c747244f33ac60001b7a9e2",1,3.17777777777778,44,0,5,0.964285714285714,0.261349837318556,1.1580324235066,0.333333333333333,0.244444444444444,0.544444444444444,54,15,11,-0.00228607565358182,0.0789646664688875,0.0592786616593081,0.0226603064244413,1.53369837018693,1.12151199328458,0.755555555555556,0.2,0.777777777777778
"20","5c9034a2eedbd9001573ca14",4,3.21111111111111,57,0,7,0.137254901960784,1.13507391859315,1.25082784195969,0.644444444444444,0.222222222222222,0.711111111111111,7,29,10,0.11530444452402,0.0621587555926475,0.671928634659825,0.0569824399636134,1.26624044058049,1.61750377168015,0.6,0.155555555555556,0.722222222222222
"21","5cd44529e0aa560001252901",4,3.34444444444444,21,1,5,0.115384615384615,1.15294361321706,1.35757814747091,0.622222222222222,0.2,0.711111111111111,7,28,9,0.00258286803763393,-0.00244397955484923,0.707231789119903,0.0526818243464716,1.38415427322803,1,0.755555555555556,0.244444444444444,0.755555555555556
"22","5cdff2a3ec6e1e001b40ea7d",0,2.06666666666667,34,1,2,0.244444444444444,0,0,0.0444444444444444,0,0.522222222222222,25,2,0,0.00988366762834167,0.0128907334716855,-0.0594006402289487,0.274424993408854,1.54149891593224,1.68901207834923,0.666666666666667,0.133333333333333,0.766666666666667
"23","5ce45c591bf7c90001505825",4,1.68888888888889,37,0,5,0,0,0,0,0,0.5,0,0,0,0.0133663597783754,0,0.663289204401749,0.0248026950952987,2.12366495408148,1.10952315800584,0.844444444444444,0.133333333333333,0.855555555555556
"24","5d39a06d60e449001eff2b0f",3,3.66666666666667,23,0,6,0,2.0346386373811,0.826841998390058,0.866666666666667,0.177777777777778,0.844444444444444,0,39,8,0.0190294227509432,0,0.700374093575787,0.229164031250025,1.76548825431723,1.07530246587514,0.8,0.177777777777778,0.811111111111111
"25","5d4a7036c068b4001d0beebe",4,3.32222222222222,36,1,3,0.98,0,1,0.555555555555556,0.555555555555556,0.5,49,25,25,0.0121100397134367,0.000243046678281995,0.0255543014357657,0.00607656119087949,2.0346386373811,0.826841998390058,0.866666666666667,0.177777777777778,0.844444444444444
"26","5d5dc0bca4dd6a0018af21cf",4,4.32222222222222,34,0,6,0.982142857142857,1.13698861494022,0.476407058955294,0.888888888888889,0.533333333333333,0.677777777777778,55,40,24,-0.0183557052273041,-0.00486963978257561,0.792925112251532,0.016486498687843,1.48050064181152,0.76197263047049,0.822222222222222,0.288888888888889,0.766666666666667
"27","5d72f471515c8b0001ed07fc",2,2.86666666666667,21,1,3,1,0.261349837318556,1.1580324235066,0.333333333333333,0.244444444444444,0.544444444444444,40,15,11,0,0.263865316928106,0.333003951759117,0.380347983143597,0.993289968016847,1.13363965629838,0.644444444444444,0.266666666666667,0.688888888888889
"28","5dad8d988b0c9d001636e2b8",2,3.54444444444444,51,1,5,0.345454545454545,1.464546956783,1.17368095095435,0.733333333333333,0.2,0.766666666666667,19,33,9,0.135351441602992,0,0.484612517454939,0.37307843774991,1.4567868104004,0.948470054931281,0.777777777777778,0.244444444444444,0.766666666666667
"29","5db95ab98f3368000c8922f4",1,2.6,24,1,6,0.66,0.493139721448855,1.39654612216722,0.333333333333333,0.177777777777778,0.577777777777778,34,15,8,-0.0134271393132253,0.270515533975239,0.469383871713515,0.082811889116566,1.48050064181152,1.31238309620457,0.711111111111111,0.177777777777778,0.766666666666667
"30","5e2e7d79acf5fe45b62f859a",3,3.4,32,1,6,0.333333333333333,0.57043759817732,1.08654563250016,0.555555555555556,0.333333333333333,0.611111111111111,20,25,15,-0.013761980385737,0.187805041229645,0.495928576882337,-0.0170337170284699,1.7049704740587,1.3145456268505,0.755555555555556,0.155555555555556,0.8
"31","5e2edcd3744c694aa3fab543",1,3.35555555555556,22,0,2,0,1.15294361321706,1.35757814747091,0.622222222222222,0.2,0.711111111111111,1,28,9,-0.00955994944747672,0.0254216403699532,0.785267840687381,-0.00189809248590331,1.6885766945307,1.14382132168207,0.777777777777778,0.177777777777778,0.8
"32","5e5d824268168509ca89806f",4,2.52222222222222,46,1,3,0.844827586206897,0,0,0.0666666666666667,0,0.533333333333333,49,3,0,-0.069120842847849,0.025274412430585,0.406872946439641,0.00729345192036575,1.84773404148862,1,0.822222222222222,0.177777777777778,0.822222222222222
"33","5e70d17c2a461402e1567b7b",4,3,33,1,5,0.181818181818182,1.41657035380435,1.35714991329172,0.688888888888889,0.177777777777778,0.755555555555556,10,31,8,-0.0835114604552707,0.00223786163882184,0.725112051426482,0.333949682695483,1.76548825431723,1.07530246587514,0.8,0.177777777777778,0.811111111111111
"34","5e9d85d30b8c7c057f5a88ff",1,2.4,24,1,5,0.0535714285714286,1.38996578720812,4.05005273208714,0.377777777777778,0.0444444444444444,0.666666666666667,3,17,2,-0.00914191318766345,0.091444837454125,0.441936554665418,0.427029314773192,1.9523928502097,0.76893899589185,0.866666666666667,0.2,0.833333333333333
"35","5ea59ffb9325e15853a82d84",3,3.6,44,1,5,0,0.801091544102217,0.97611178407516,0.666666666666667,0.355555555555556,0.655555555555556,1,30,16,0.0109433432250588,0.00804597069076528,0.00119512529156164,0.845343154652278,1.25741300684643,0.842811328711483,0.777777777777778,0.311111111111111,0.733333333333333
"36","5ea9ad9eb1d9cc0e40dadc38",4,3,28,1,6,0.770833333333333,1.08291658965133,1.85246806819671,0.488888888888889,0.133333333333333,0.677777777777778,37,22,6,-0.0119257363180516,0.019087112712045,0.753220642835855,0.0457113408324447,1.6885766945307,0.874262422848903,0.822222222222222,0.222222222222222,0.8
"37","5eb06e5ac2728b106d4f25e2",2,3.22222222222222,66,0,5,0.759259259259259,0.888288870259197,1.24637066403728,0.577777777777778,0.244444444444444,0.666666666666667,41,26,11,0.00437411967196986,0.0402342712837674,0.726287758800485,0.0314126756482715,1.04933695412725,1.03411108937369,0.688888888888889,0.288888888888889,0.7
