"","PID","crt","aq","eq","rgpts","mean_suspicion_rating","lie_detect_dprime","lie_prop","age","gender","ed_lev","(Intercept)","normed_signed_e_v","normed_unsigned_e_v","subject_liedTRUE","subject_lostTRUE"
"46","613e157ccd6af6049001ce25",0,0.2,5.545454545,0.333333333,2.066666667,0.018622899777386,0.044444444,65,1,5,0,0.404208576310062,0.198459415648634,-0.0315459400895261,0.0170390089913789
"47","6141eb354d3db46e3cdf8279",2,0.2,5.090909091,1.722222222,2.9,0.025064800338376,0,37,0,2,0,0.039969000906657,0.442674990223134,NA,-0.000564902804750662
"48","6146feaf8805a81cdc0da120",1,0.4,4.318181818,1.388888889,2.8,0.0329018324948204,0.077777778,23,1,2,0,0.25610359128702,0.373193058978286,0.067497497359283,0.0512647095367022
"49","61470c6545addee0f7b14363",1,0.2,5.181818182,0.333333333,2.822222222,0.146009209114712,0.255555556,32,1,3,0,0.248035119811409,0.425990513015184,-0.173748524908424,-0.237363850347884
"50","6147d726fa94eb7d5c2de156",4,0.5,4.363636364,1.833333333,2.144444444,0.089786781818266,0.255555556,23,0,2,0,0.316822301264527,0.204607795301806,-0.0465798573496992,-0.0976328200851843
"51","61486876563fb6bdeb777a10",3,0.3,5.772727273,0.277777778,2.544444444,0.0794419539688493,0,55,1,3,0,0.118855076474024,0.264840747750534,NA,0.108902909651582
"52","614cca3c9f5a9e7afe6f0f49",4,0.4,4.909090909,1.333333333,2.088888889,0.0567984968164682,0.055555556,28,1,5,0,0.344699458030048,0.102875346378434,0.0685824432404912,0.161812163455963
"53","614cd4d65c8c90077afbe40f",2,0.4,4.136363636,1.388888889,2.744444444,0.242440594660871,0.588888889,49,1,6,0,0.325475511959432,0.430917389665341,0.0816919053060144,NA
"54","614f0cfd6a0b72631a010f7a",3,0.4,5.181818182,0.277777778,2.788888889,0.179720020206371,0,21,0,5,0,0.344535236180451,0.311621377084766,NA,-0.0353649159927706
"55","614f23537aab4e64abfd53ae",4,0.9,3.636363636,2.444444444,3.077777778,0.154345652170716,0.011111111,32,1,5,0,0.310759235001062,0.463886984898323,-0.209796575715438,-0.134863056826826
"56","614f40be2fd4052c9f0990fe",2,0.2,4.954545455,1.555555556,2.966666667,0.231641223143387,0.033333333,34,1,2,0,0.283048229444356,0.21638026773176,-0.0366518008503881,-0.0121185783552014
"57","6151e17dd596caee8fc6b73c",3,0.4,3.181818182,0.833333333,2.355555556,0.1417242364439,0.344444444,44,1,6,0,0.383428254310101,0.258316579033159,-0.0423593243263485,-0.0259100560613723
"58","6152218517a89c5b41e18a06",3,0.2,5.954545455,0.888888889,3.044444444,-0.00461672324930096,0.111111111,22,0,5,0,0.402916820810541,0.332158507805111,0.0748916921944821,-0.149632887293014
"59","61533356ce435e5a4a4addd0",4,0.3,5.318181818,0.444444444,2.566666667,0.0504678374679424,0.511111111,19,0,3,0,0.328119701970954,0.142598316513103,-0.00988150966134289,0.152194747161013
"60","61560647e0454473e55326f2",0,0.3,5.181818182,1.5,2.888888889,0.0865652659863214,0.022222222,25,1,6,0,0.138166552890459,0.40427736332687,0.0844617667954052,0.0980711302484046
"61","615630fc8d505b023ba5de4f",1,0.4,4.227272727,1.666666667,2.866666667,0.106444834132857,0.144444444,19,1,3,0,0.29267630985366,0.302740084842908,0.086487723894473,0.026711197148243
"62","6156ee007bdef87eb5b4aeb0",0,0.5,3.772727273,NA,3.3,-0.0119642758745969,0.655555556,41,0,6,0,0.343561478443864,0.169123646136681,0.02607938440496,0.0588368479961657
"63","61572268fe13d0e23bdc2036",4,0.3,3.454545455,1.222222222,3.244444444,0.119072027784759,0.6,28,0,6,0,0.211588947823589,0.423579109586801,0.0107191428604587,NA
"64","6157750f00a7484cb199b40d",3,0.4,5.863636364,0.388888889,3,0.133348304600747,0.477777778,29,1,3,0,0.168628774771745,0.439675541036328,0.0934015961063458,0.091954945840796
"65","6157b4423b44be8c20642f98",2,0.5,4.909090909,0.777777778,3.022222222,0.16009710321006,0.5,34,1,5,0,0.390900491672565,0.280287317283447,0.0615462987958322,NA
"66","6157f95997ae97ff4aebad7b",4,0.4,4.272727273,0.388888889,2.522222222,0.0959116957024436,0.022222222,23,0,5,0,0.110256735835448,0.340789917780734,-0.152139466064983,0.22199216520898
"67","615875cd00a23fb41e865fc0",2,0.3,6.136363636,0.333333333,3.133333333,0.150202739830113,0.477777778,51,1,5,0,0.206677478313449,0.31399868594857,0.035320367769252,0.111383426381897
"68","6158d28aa4775c94baebd9f6",2,0.3,5,0.611111111,2.811111111,0.15719557250974,0.155555556,32,1,6,0,0.108609002542883,0.395871670685747,0.0547647824296827,0.0230558945833653
"69","615df1b1d27e6932fca18dfa",4,0,4.727272727,0.666666667,2.966666667,0.132778211308354,0.488888889,49,0,5,0,0.133052898874111,0.433464237423756,-0.0656664403337657,0.0311271038846319
"70","615e518ec8ce77798a747260",4,0.2,4,0.055555556,1.1,0,0,31,0,6,0,0.227320773322782,0.42280170865051,NA,-0.0552069347691492
"71","615ec4f34cb81d7e58fa144c",1,0.3,5.363636364,NA,2.811111111,0.0245430320203213,0,24,0,3,0,0.212342353523892,0.128254298711681,NA,0.0864337682890316
"72","615f0726cbd12330a2d82556",2,0.5,4.409090909,1.666666667,3.477777778,0.125555161591129,0.144444444,19,0,2,0,0.3273689741866,0.195841652635307,-0.000693263650532989,0.0691228581455576
"73","615f1500b60d25e2660e8644",0,0.6,3.181818182,2.055555556,2.777777778,0.217233548970317,0.244444444,28,0,5,0,0.213416647039399,0.297585428384641,-0.0330088862425831,-0.112640128280512
"74","615f4e20d504f648ffd22972",2,0.1,5.318181818,1.5,1.5,0.0524178589444159,0,33,1,5,0,0.557271837514675,0.329574811444409,NA,-0.265453078962436
"75","6160011304f5319ece189bfa",4,0.5,4.409090909,NA,2.322222222,0.0632143648976656,0.033333333,23,1,3,0,0.304261049587404,0.195258085929963,0.0217018944062393,0.128235201631455
"76","61601bdaaac912e91c39d579",2,0.1,4.863636364,0.055555556,2.322222222,0.00830734238351549,0.322222222,37,1,4,0,0.365253100324941,0.251775109387826,-0.0337021254969932,-0.284283502223342
"77","6160f30a9b243350dd593650",1,0.5,5.5,2.888888889,2.922222222,0.174921010045091,0.433333333,19,0,2,0,0.452498132860379,0.314071504648558,0.0306511501569906,-0.176490240269997
"78","6164a82e96fecd05db7f6bc5",3,0.3,5.136363636,0.111111111,1.755555556,0,0.066666667,35,1,5,0,0.324358134365326,0.155120448170089,0.0388372523723056,0.0531298331945201
"79","6165ce387aa2c20ac9444aab",2,0.1,5.636363636,1.166666667,2.9,0.127901547415353,0.011111111,23,1,5,0,0.323455919620039,0.349275672499456,-0.0438357843123224,-0.0225356779640892
"80","61661cac7d3cc02b3fc1b52b",1,0.4,5.909090909,0.888888889,2.577777778,0.123405856546476,0.244444444,47,1,5,0,0.124904752477168,0.346223079985276,0.0421466853571857,-0.0177337098540462
"81","6166208d9c58ef96862ffd1e",1,0.4,4.227272727,2.444444444,2.9,0.0876769024763131,0.522222222,26,1,5,0,0.268241415704091,0.460014831082278,-0.0758007495098853,-0.164960474600473
"82","61667ad3d3c29f487b65cd45",2,0.2,4.590909091,0.444444444,2.8,0.139104010735566,0.533333333,30,0,3,0,0.137177833919465,0.359672013838792,0.0815656202739618,NA
"83","6166d329ed4a00458e660e87",1,0.3,4.818181818,0,2.866666667,0.101901174266732,0.033333333,57,1,1,0,0.438445856509927,0.219398279882315,-0.0219862550736457,-0.049847232255252
"84","61671a9d42eb53946faa44c2",2,0.5,4.318181818,0.722222222,2.944444444,0.0834939014127455,0.088888889,40,0,5,0,0.336340455486342,0.280525615714962,-0.00832010293146533,-0.0825589921570628
"85","6168983cf2f14b393f06c50a",2,0.4,5.909090909,2.555555556,2.722222222,0.166670317385533,0.266666667,29,1,5,0,0.248442156780505,0.335114024983323,-0.0408552659095248,-0.144423832703199
"86","6169254bcae807672de29c2d",4,0.1,5.227272727,0.277777778,2.688888889,0.0873651368827875,0.366666667,33,1,5,0,0.43774915237821,0.294671011575535,0.0512381477004595,0.058106510338808
"87","6169a6bf5372000629b20879",3,0.5,4.545454545,0.888888889,4.222222222,0.0195407533696762,0.633333333,25,0,6,0,0.408984094151698,0.237892564522393,0.21605351114691,-0.114752499839178
"88","6169c2dc0d5361fbf96713f4",0,0.4,5.272727273,1.277777778,2.711111111,0.158554446488305,0.044444444,21,1,3,0,0.110287178398349,0.33329530465877,-0.0166356195548217,0.201919544732408
"89","6169d947c10b18bb9541b6d9",3,0.4,6.090909091,1.5,3.522222222,0.141406519808272,0.033333333,32,1,5,0,0.243154053762251,0.227600631863619,-0.135101226029718,0.168283775705221
"90","616ae1d6b676edf5f6ae8351",3,0.2,4.954545455,2.277777778,3.733333333,0.0542181169006509,0.455555556,32,0,6,0,0.31585182854041,0.295849918098005,0.0460589834731247,0.0142263928559245
"91","616b05332ad106da01d79fa8",1,0.2,4.454545455,2.555555556,3.366666667,0.128341345715579,0.455555556,31,1,3,0,0.419258630993683,0.315468414855247,0.122384083522114,-0.128477224777596
"92","616b075e487d1ad05543166e",4,0.4,4.727272727,1.111111111,2.744444444,0.136879901046556,0.011111111,64,1,2,0,0.323111235440759,0.263745728927726,-0.083515356265084,-0.067039735430266
"93","616b0e47afca47d3d1a99499",1,0.2,5.318181818,1.888888889,3.3,-0.00238355736772955,0.088888889,32,0,6,0,0.265406038169978,0.445751839058057,-0.000948003457632588,-0.159892717833237
"94","616c96b3a5db6313464f8d8d",0,0.2,4.5,0.444444444,1.955555556,0.0451064822224888,0,36,1,3,0,0.414282817133588,0.203758348080061,NA,-0.162876780702923
"95","616d2d6c9c76109cd9aa68e7",2,0.2,5.727272727,0.166666667,3.044444444,0.156023138880055,0,27,1,6,0,0.388200817654529,0.167892119101008,NA,0.229620198258367
"96","616d3d7cbf9e78d1a6e3219e",1,0.5,4.636363636,2.111111111,3.644444444,0.14935374803897,0,19,1,2,0,0.0851781132014189,0.372092127316528,NA,0.0572546770739501
"97","616d50ac138442ad3ad08b0e",2,0.2,5.136363636,0.388888889,2.966666667,0.0383099481151317,0.255555556,30,0,9,0,0.322424594025964,0.400503788101975,0.101288007270883,-0.0530713436207144
"98","616d53892b58b6e0388ab050",2,0.5,5.090909091,1.722222222,3.422222222,0.127859677635849,0,21,1,2,0,0.40562705102162,0.16591566415274,NA,-0.130722126262633
"99","616f35805cb9047a629edb71",4,0.3,4.954545455,1.666666667,3.955555556,0.117417140961347,0.088888889,19,0,2,0,0.249338013322903,0.420716697183884,0.0892291889495582,0.0591138852146564
"100","61701030a25961434f04b486",1,0.6,5.5,2.611111111,4.266666667,0.0591192273983941,0.122222222,20,1,2,0,0.268609683575688,0.402451030875742,0.0396167702342358,-0.0302170120879493
"101","617019b7cfb4582eb9443d6e",0,0.4,5.136363636,3.222222222,2.544444444,0.186794223827328,0.233333333,20,1,3,0,0.369884482117638,0.211990597554731,0.0326579372745605,0.0187037212155277
"102","61702d135446e67283e058de",2,0.4,6.045454545,0.388888889,2.722222222,0.0968493299172539,0.522222222,19,1,3,0,0.322422943767828,0.154351604375415,0.0852323509188257,0.086334630592488
